name,v_nom,x,y
BSL150_50,50.0,3.72866,51.4352
HZA220_220,220.0,4.04314,52.3195
BSB220_220,220.0,2.96555,51.7265
BSA220_220,220.0,3.05671,51.6999
WAP150_150,150.0,3.9648,51.4667
VLO150_150,150.0,3.69297,51.4499
VSG150_150,150.0,3.5913,51.4523
KNG150_150,150.0,4.03096,51.4682
MDB150_150,150.0,3.64863,51.488
OBG150_150,150.0,3.50983,51.3386
GSP150_150,150.0,3.86411,51.4904
RLL150_150,150.0,4.22675,51.4256
TNZ150_150,150.0,3.77618,51.3323
WDO150_150,150.0,3.82911,51.2643
BSL150_150,150.0,3.72866,51.4352
RLL380_380,380.0,4.21872,51.4239
ZKL380_380,380.0,3.72698,51.4314
BSL380_380,380.0,3.72719,51.4334
w268976642_10,10.0,3.78968,51.2261
w269346559_10,10.0,3.81956,51.2646
w269928813_10,10.0,3.94342,51.2395
w270185738_10,10.0,3.91356,51.3267
w270186451_10,10.0,3.89542,51.3509
w271940118_10,10.0,3.54425,51.4009
w271941678_10,10.0,3.55824,51.3935
w271992238_10,10.0,3.58247,51.3179
w272057888_10,10.0,3.96072,51.3383
w272410751_10,10.0,4.10375,51.3307
w274116460_10,10.0,3.76904,51.4512
w274147952_10,10.0,3.79902,51.4633
w274148037_10,10.0,3.81543,51.4777
w274161433_10,10.0,3.76729,51.431
w274419851_10,10.0,3.91134,51.4251
w274450963_10,10.0,3.89995,51.4555
w277002678_10,10.0,3.57304,51.4557
w277047574_10,10.0,4.14066,51.5878
w277062499_10,10.0,4.07702,51.5475
w277460864_10,10.0,3.56395,51.4549
w277903266_10,10.0,3.52092,51.5149
w281704613_10,10.0,3.81091,51.6021
w282812136_10,10.0,4.04642,51.4985
w283235928_10,10.0,3.99923,51.4635
w285142580_10,10.0,3.90243,51.4965
w286885760_10,10.0,3.90398,51.4987
w286887084_10,10.0,3.89576,51.5004
w286908439_10,10.0,3.8858,51.5051
w286970577_10,10.0,3.65906,51.473
w287167526_10,10.0,3.62253,51.4891
w306397458_10,10.0,3.56129,51.3964
w473972985_10,10.0,3.38414,51.3748
