name,bus,p_nom,carrier,build_year,min_up_time,min_down_time,up_time_before,down_time_before
"n7673757696_Gamesa 8,0 MW-167 DD",n7673757696_66,8.0,wind,0,0,0,1,0
"n7673822478_Gamesa 8,0 MW-167 DD",n7673822478_66,8.0,wind,0,0,0,1,0
"n7673822479_Gamesa 8,0 MW-167 DD",n7673822479_66,8.0,wind,0,0,0,1,0
"n7673822481_Gamesa 8,0 MW-167 DD",n7673822481_66,8.0,wind,0,0,0,1,0
"n7673822482_Gamesa 8,0 MW-167 DD",n7673822482_66,8.0,wind,0,0,0,1,0
"n7673974614_Gamesa 8,0 MW-167 DD",n7673974614_66,8.0,wind,0,0,0,1,0
"n7673974615_Gamesa 8,0 MW-167 DD",n7673974615_66,8.0,wind,0,0,0,1,0
"n7673974616_Gamesa 8,0 MW-167 DD",n7673974616_66,8.0,wind,0,0,0,1,0
"n7673974617_Gamesa 8,0 MW-167 DD",n7673974617_66,8.0,wind,0,0,0,1,0
"n7673974618_Gamesa 8,0 MW-167 DD",n7673974618_66,8.0,wind,0,0,0,1,0
"n7673974619_Gamesa 8,0 MW-167 DD",n7673974619_66,8.0,wind,0,0,0,1,0
"n7673974620_Gamesa 8,0 MW-167 DD",n7673974620_66,8.0,wind,0,0,0,1,0
"n7673974621_Gamesa 8,0 MW-167 DD",n7673974621_66,8.0,wind,0,0,0,1,0
"n7673974622_Gamesa 8,0 MW-167 DD",n7673974622_66,8.0,wind,0,0,0,1,0
"n7673974623_Gamesa 8,0 MW-167 DD",n7673974623_66,8.0,wind,0,0,0,1,0
"n7673974624_Gamesa 8,0 MW-167 DD",n7673974624_66,8.0,wind,0,0,0,1,0
"n7673974625_Gamesa 8,0 MW-167 DD",n7673974625_66,8.0,wind,0,0,0,1,0
"n7673980183_Gamesa 8,0 MW-167 DD",n7673980183_66,8.0,wind,0,0,0,1,0
"n7673980184_Gamesa 8,0 MW-167 DD",n7673980184_66,8.0,wind,0,0,0,1,0
"n7673998085_Gamesa 8,0 MW-167 DD",n7673998085_66,8.0,wind,0,0,0,1,0
"n7673998086_Gamesa 8,0 MW-167 DD",n7673998086_66,8.0,wind,0,0,0,1,0
"n7674066609_Gamesa 8,0 MW-167 DD",n7674066609_66,8.0,wind,0,0,0,1,0
"n7674066610_Gamesa 8,0 MW-167 DD",n7674066610_66,8.0,wind,0,0,0,1,0
"n7674066611_Gamesa 8,0 MW-167 DD",n7674066611_66,8.0,wind,0,0,0,1,0
