name,bus0,bus1,tap_side,tap_position,build_year
n1707388404_1,WDO150_50,WDO150_50,0,0,0
n1707388406_1,WDO150_50,WDO150_50,0,0,0
n1707388413_1,WDO150_50,WDO150_50,0,0,0
n1707388420_1,TNZ150_150,TNZ150_50,0,0,0
n1707388420_2,TNZ150_150,TNZ150_10,0,0,0
n1707388421_1,TNZ150_150,TNZ150_50,0,0,0
n1707388421_2,TNZ150_150,TNZ150_10,0,0,0
n1707388422_1,TNZ150_150,TNZ150_50,0,0,0
n1707388422_2,TNZ150_150,TNZ150_10,0,0,0
n1707388425_1,OBG150_150,OBG150_10,0,0,0
n1707388427_1,OBG150_150,OBG150_10,0,0,0
n1707388443_1,BSL150_150,BSL150_20,0,0,0
n1707388443_2,BSL150_150,BSL150_20,0,0,0
n1707388443_3,BSL150_150,BSL150_10,0,0,0
n1707388445_1,BSL150_150,BSL150_380,0,0,0
n1707388446_1,BSL150_150,BSL150_20,0,0,0
n1707388446_2,BSL150_150,BSL150_20,0,0,0
n1707388446_3,BSL150_150,BSL150_10,0,0,0
n1707388448_1,BSL150_150,BSL150_380,0,0,0
n1707388463_1,BSL150_150,BSL150_20,0,0,0
n1707388463_2,BSL150_150,BSL150_20,0,0,0
n1707388463_3,BSL150_150,BSL150_10,0,0,0
n1707625243_1,MDB150_150,MDB150_20,0,0,0
n1707625243_2,MDB150_150,MDB150_10,0,0,0
n1707625245_1,MDB150_150,MDB150_20,0,0,0
n1707625245_2,MDB150_150,MDB150_10,0,0,0
n1707625247_1,MDB150_150,MDB150_20,0,0,0
n1707625247_2,MDB150_150,MDB150_10,0,0,0
n1707625249_1,GSP150_150,GSP150_50,0,0,0
n1707625249_2,GSP150_150,GSP150_10,0,0,0
n1707625250_1,GSP150_150,GSP150_50,0,0,0
n1707625250_2,GSP150_150,GSP150_10,0,0,0
n1748994039_1,RLL150_150,RLL150_20,0,0,0
n1748994039_2,RLL150_150,RLL150_10,0,0,0
n1748994040_1,RLL150_150,RLL150_20,0,0,0
n1748994040_2,RLL150_150,RLL150_10,0,0,0
n1748994053_1,RLL150_150,RLL150_20,0,0,0
n1748994053_2,RLL150_150,RLL150_10,0,0,0
n1748994155_1,WAP150_150,WAP150_50,0,0,0
n1748994155_2,WAP150_150,WAP150_10,0,0,0
n1748994158_1,WAP150_150,WAP150_50,0,0,0
n1748994158_2,WAP150_150,WAP150_10,0,0,0
n1748994166_1,KNG150_150,KNG150_50,0,0,0
n1748994166_2,KNG150_150,KNG150_10,0,0,0
n1748994168_1,KNG150_150,KNG150_50,0,0,0
n1748994168_2,KNG150_150,KNG150_10,0,0,0
n1749023055_1,w87882848_50,w87882848_10,0,0,0
n1749023056_1,w87882848_50,w87882848_10,0,0,0
n6928300924_1,BSL380_150,BSL380_380,0,0,0
n7235200049_1,ZKL380_220,ZKL380_380,0,0,0
n7235200051_1,ZKL380_220,ZKL380_380,0,0,0
n7235200064_1,ZKL380_220,ZKL380_380,0,0,0
n7235200066_1,ZKL380_220,ZKL380_380,0,0,0
n7663758337_1,RLL150_150,RLL150_20,0,0,0
n7663758337_2,RLL150_150,RLL150_10,0,0,0
n8418653582_1,BSL380_150,BSL380_380,0,0,0
n8551314131_1,MDB150_150,MDB150_20,0,0,0
n8551314131_2,MDB150_150,MDB150_10,0,0,0
n9463780261_1,RLL380_380,RLL380_150,0,0,0
n9463780262_1,RLL380_380,RLL380_150,0,0,0
